# bin_centers,CoVs,smoothed_CoVs,FAPs
1.127475896912367546e+02,1.000672596533674463e+00,1.017450941126502251e+00,1.089854433909648757e+00
1.143926050702526851e+02,1.002685176674915191e+00,1.016685456037410340e+00,1.089477969882878039e+00
1.160559259720344443e+02,1.009023354891247282e+00,1.015597071639646964e+00,1.089116564417178079e+00
1.177376930410945732e+02,1.009064597826395682e+00,1.014572308584454463e+00,1.088725041829336382e+00
1.194380475201700307e+02,1.041857855755309981e+00,1.013522500896236078e+00,1.088348577802565664e+00
1.211571312507198996e+02,1.039641736948327511e+00,1.012278751216292516e+00,1.087972113775794725e+00
1.228950866734217016e+02,1.051682883454407191e+00,1.010575515483141507e+00,1.087565532626882492e+00
1.246520568286664883e+02,1.051750339725384009e+00,1.008849609292002070e+00,1.087189068600111552e+00
1.264281853570525698e+02,1.050992636212814357e+00,1.007354121891675724e+00,1.086782487451199097e+00
1.282236164998780055e+02,1.033827151477031414e+00,1.005269425122375049e+00,1.086390964863357622e+00
1.300384950996316888e+02,1.003443034563488601e+00,1.004684865119134907e+00,1.085999442275515925e+00
1.318729666004833803e+02,9.798231228505488444e-01,1.004410744144462742e+00,1.085592861126603470e+00
1.337271770487722335e+02,9.877114307134645665e-01,1.004705568273921656e+00,1.085186279977691015e+00
1.356012730934941999e+02,9.782548415918433937e-01,1.004473664633375840e+00,1.084779698828778560e+00
1.374954019867881527e+02,9.618623569946961327e-01,1.003999002950954456e+00,1.084373117679866327e+00
1.394097115844207053e+02,9.879284691494478743e-01,1.003990554824729209e+00,1.083936419408812135e+00
1.413443503462698914e+02,9.816647214145697298e-01,1.003486654907631115e+00,1.083529838259899680e+00
1.432994673368075382e+02,9.887378715823169628e-01,1.002719214640360068e+00,1.083108198549916468e+00
1.452752122255804750e+02,9.809445625521356904e-01,1.002198010458985822e+00,1.082686558839933255e+00
1.472717352876904044e+02,9.845282765434608674e-01,1.000923385671119270e+00,1.082264919129949821e+00
1.492891874042727522e+02,9.873042086906814729e-01,1.000812051337055752e+00,1.081828220858895850e+00
1.513277200629741230e+02,9.846860965107789854e-01,1.000035198173021556e+00,1.081391522587841658e+00
1.533874853584287052e+02,9.959817053178021684e-01,9.997260551630603453e-01,1.080954824316787688e+00
1.554686359927333683e+02,9.991593246483514434e-01,9.991692181518375682e-01,1.080518126045733496e+00
1.575713252759216800e+02,1.009549550766329906e+00,9.985364738277132668e-01,1.080081427774679304e+00
1.596957071264366732e+02,1.005998671449946702e+00,1.000112639138637682e+00,1.079629670942554354e+00
1.618419360716025039e+02,9.991965048363981028e-01,1.002026881874949371e+00,1.079177914110429626e+00
1.640101672480949162e+02,1.000444497125589915e+00,1.003476768677760367e+00,1.078726157278304676e+00
1.662005564024104558e+02,9.890798789132740909e-01,1.005288286811517828e+00,1.078274400446179726e+00
1.684132598913347749e+02,9.883024676749262438e-01,1.007436695847822694e+00,1.077807585052983796e+00
1.706484346824095724e+02,9.949920849292941405e-01,1.008564595606604941e+00,1.077355828220859069e+00
1.729062383543984254e+02,1.007442986482904423e+00,1.009290729318525814e+00,1.076889012827663139e+00
1.751868290977516267e+02,1.036635709928620530e+00,1.010096633960869461e+00,1.076422197434467432e+00
1.774903657150697711e+02,1.030707848025477436e+00,1.011746681282182037e+00,1.075940323480200744e+00
1.798170076215662618e+02,1.043403478456434774e+00,1.013082340993330943e+00,1.075473508087005037e+00
1.821669148455286802e+02,1.035958036909800262e+00,1.014287695038891490e+00,1.075006692693809329e+00
1.845402480287791320e+02,1.016743054725677942e+00,1.015884289343660818e+00,1.074524818739542642e+00
1.869371684271333720e+02,1.045999497958445712e+00,1.017309036109182108e+00,1.074027886224205197e+00
1.893578379108589615e+02,1.031507676730964329e+00,1.017421714439374014e+00,1.073530953708867974e+00
1.918024189651322047e+02,1.026858374389364448e+00,1.017048137920274931e+00,1.073049079754601287e+00
1.942710746904941743e+02,1.027165831203293855e+00,1.016881460885081800e+00,1.072552147239263842e+00
1.967639688033054881e+02,1.019869400974922735e+00,1.017117056085547810e+00,1.072070273284997377e+00
1.992812656362000894e+02,1.018381762636564769e+00,1.017847194120664156e+00,1.071558282208588952e+00
2.018231301385380334e+02,1.001270331636436195e+00,1.018593800178444697e+00,1.071061349693251508e+00
2.043897278768570800e+02,1.010497296925601418e+00,1.019722504603590929e+00,1.070534300055772547e+00
2.069812250353232912e+02,1.025495840227571120e+00,1.020546132513513005e+00,1.070037367540435103e+00
2.095977884161806912e+02,1.020591088744480235e+00,1.020524774029959003e+00,1.069510317902955920e+00
2.122395854401996758e+02,1.019848767920815469e+00,1.018837741442534695e+00,1.068998326826547718e+00
2.149067841471245117e+02,1.027794142739553163e+00,1.017805201853435815e+00,1.068486335750139515e+00
2.175995531961198708e+02,1.034449867986879656e+00,1.016908070464173974e+00,1.067944227551589575e+00
2.203180618662161976e+02,1.002201639563528923e+00,1.016280809435036847e+00,1.067432236475181373e+00
2.230624800567540831e+02,9.994629847506493192e-01,1.016335861717523104e+00,1.066890128276631433e+00
